# Author: xRuffKez
# This is a phishing list of newly registered domains. The list is part of my threat intelligence feed.
# Total domains: 247
# Newly added domains: 0
# Removed domains: 46
1winwwwoff24.buzz # Added: 2024-07-05; Last NS check: 2024-07-05
1wwwwwwxdctfvygbhn.info # Added: 2024-07-05; Last NS check: 2024-07-05
2wwwwwwxdctfvygbhn.info # Added: 2024-07-05; Last NS check: 2024-07-05
3wwwwwwxdctfvygbhn.info # Added: 2024-07-05; Last NS check: 2024-07-05
4wwwwwwxdctfvygbhn.info # Added: 2024-07-05; Last NS check: 2024-07-05
5wwwwwwxdctfvygbhn.info # Added: 2024-07-05; Last NS check: 2024-07-05
9118cc-wwwll.xyz # Added: 2024-07-05; Last NS check: 2024-07-05
91www.xyz # Added: 2024-07-05; Last NS check: 2024-07-05
adhdsupporthub.store # Added: 2024-07-05; Last NS check: 2024-07-05
ahha4dlogin6.lat # Added: 2024-07-05; Last NS check: 2024-07-05
aksesloginads.pro # Added: 2024-07-05; Last NS check: 2024-07-05
alibaba.tattoo # Added: 2024-07-05; Last NS check: 2024-07-05
amazon-assist.xyz # Added: 2024-07-05; Last NS check: 2024-07-05
amazon-oi.beauty # Added: 2024-07-05; Last NS check: 2024-07-05
amazon-pro.xyz # Added: 2024-07-05; Last NS check: 2024-07-05
amazon-vip.icu # Added: 2024-07-05; Last NS check: 2024-07-05
amazoniaconnect.online # Added: 2024-07-05; Last NS check: 2024-07-05
amazoniaconnect.store # Added: 2024-07-05; Last NS check: 2024-07-05
amazonicarosa.net # Added: 2024-07-05; Last NS check: 2024-07-05
amazonoi.lol # Added: 2024-07-05; Last NS check: 2024-07-05
amazonvideo.top # Added: 2024-07-05; Last NS check: 2024-07-05
amp-amazon.store # Added: 2024-07-05; Last NS check: 2024-07-05
app-support-id.info # Added: 2024-07-05; Last NS check: 2024-07-05
app-support-id.shop # Added: 2024-07-05; Last NS check: 2024-07-05
aset69login.buzz # Added: 2024-07-05; Last NS check: 2024-07-05
asia77login.xyz # Added: 2024-07-05; Last NS check: 2024-07-05
autochatgpt.xyz # Added: 2024-07-05; Last NS check: 2024-07-05
backupmy.cloud # Added: 2024-07-05; Last NS check: 2024-07-05
backuppowerau.bond # Added: 2024-07-05; Last NS check: 2024-07-05
bakwanlogin.click # Added: 2024-07-05; Last NS check: 2024-07-05
bearminecraft.net # Added: 2024-07-05; Last NS check: 2024-07-05
binancebillyweed.fun # Added: 2024-07-05; Last NS check: 2024-07-05
blizzardcell.xyz # Added: 2024-07-05; Last NS check: 2024-07-05
bocahlogin.xyz # Added: 2024-07-05; Last NS check: 2024-07-05
bsbackups.tech # Added: 2024-07-05; Last NS check: 2024-07-05
callsupport.biz # Added: 2024-07-05; Last NS check: 2024-07-05
casesupport.org # Added: 2024-07-05; Last NS check: 2024-07-05
cerradobeer.net # Added: 2024-07-05; Last NS check: 2024-07-05
chatgpt-api-xuyang.top # Added: 2024-07-05; Last NS check: 2024-07-05
chatgpt12345.xyz # Added: 2024-07-05; Last NS check: 2024-07-05
chatgptai.cash # Added: 2024-07-05; Last NS check: 2024-07-05
